AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Montane
66.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,20.0,2.8,nan,nan,10.5,aquatic,nan,0
678.0,2.0,no,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,24.0,2.25,nan,nan,65.0,terrestrial,360.0,0
381.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,nan,3.0,nan,nan,nan,terrestrial,nan,1
131.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,30.0,1.0,nan,nan,20.0,terrestrial,214.8,0
173.0,3.0,yes,yes,no,no,no,no,yes,2.0,2.0,1.0,yes,28.75,1.0,nan,nan,40.2,terrestrial,429.6,0
107.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,23.5,2.0,nan,nan,20.4,terrestrial,308.4,0
121.5,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,24.5,2.75,nan,nan,21.0,terrestrial,396.0,0
42.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,21.25,2.0,nan,nan,10.0,terrestrial,287.0,0
213.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,23.5,1.0,nan,nan,37.1,terrestrial,nan,0
370.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,27.5,1.0,nan,nan,60.0,terrestrial,244.08,0
957.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,no,27.0,2.0,7.15,4.88,84.2,terrestrial,157.0,0
161.0,3.0,yes,yes,no,no,yes,no,no,2.0,3.0,1.0,yes,25.5,4.5,41.5,30.5,21.8,terrestrial,122.4,0
121.0,2.0,yes,no,no,no,yes,no,no,2.0,2.0,1.0,no,18.0,3.5,35.6,25.0,13.0,terrestrial,nan,1
48.0,3.0,yes,yes,no,no,no,yes,no,2.0,2.0,1.0,yes,21.5,4.0,36.4,26.3,12.5,terrestrial,174.0,1
136.0,3.0,yes,yes,no,no,no,yes,no,2.0,3.0,1.0,yes,23.25,3.5,39.7,28.9,17.9,terrestrial,267.6,1
49.3,5.0,yes,yes,no,no,yes,yes,yes,2.0,3.0,1.0,yes,27.5,3.0,nan,nan,11.2,terrestrial,223.2,1
58.1,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,yes,19.5,3.8,nan,nan,12.0,terrestrial,236.4,1
21.1,2.0,yes,no,no,no,no,yes,no,2.0,3.0,1.0,yes,20.5,4.0,nan,nan,6.3,terrestrial,176.4,0
216.0,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,1.0,no,nan,1.5,45.5,31.9,24.3,terrestrial,nan,1
805.5,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,1.0,yes,28.0,3.5,67.6,47.9,76.0,terrestrial,381.6,1
69.4,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,22.5,4.0,38.3,26.4,13.5,terrestrial,139.2,0
162.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,24.0,4.0,51.4,34.8,30.5,terrestrial,292.8,1
72.1,3.0,yes,yes,no,no,no,yes,no,2.0,2.0,1.0,yes,nan,4.0,nan,nan,14.0,<NA>,85.2,0
88.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,yes,23.5,4.0,38.6,26.6,13.5,terrestrial,192.0,0
291.0,3.0,yes,no,yes,no,yes,no,no,2.0,3.0,1.0,yes,20.75,3.75,nan,nan,37.0,<NA>,408.0,1
