AdultBodyMass,CranialCapacity,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid
134.0,,yes,no,no,no,no,no,no,2.0,2.0,1.0,54.79,4.66,182.5,,,20.0,32.4,0,1,1,0,1
59.0,,yes,yes,yes,no,no,no,no,1.0,1.0,4.0,136.0,0.99,365.0,,,,144.0,1,1,1,1,1
1250.0,,yes,yes,yes,no,no,no,no,2.0,1.0,1.0,120.0,1.13,365.0,0.02,63.33,2.0,151.2,1,0,0,1,0
6593.0,34.5,no,no,yes,yes,yes,yes,no,1.0,3.0,3.0,192.35,1.01,912.5,0.12,10.62,3.1,,0,1,0,0,1
2216.0,25.6,yes,no,yes,no,no,yes,no,2.0,2.0,2.0,135.91,1.14,416.71,0.05,215.0,16.45,403.8,1,1,1,1,1
827.6,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,1,0,0,0,0
580.0,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,1,0,0,0,0
748.16,,no,no,no,no,no,yes,no,2.0,1.0,3.0,133.45,1.0,,0.01,350.0,1.0,144.0,1,0,0,0,1
1127.5,,no,no,no,no,no,yes,no,1.0,1.0,3.0,,,,,,,,0,1,0,0,1
721.54,6.7,no,no,no,no,no,yes,no,1.0,1.0,3.0,133.38,1.01,,,,1.0,144.0,1,0,1,0,1
1017.37,7.25,no,no,no,no,no,yes,no,1.0,1.0,3.0,136.88,1.0,365.0,0.008,70.98,1.0,144.0,1,0,0,0,0
890.0,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,0,1,0,0,1
859.75,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,1,0,0,0,0
1000.0,,-999,-999,-999,-999,-999,-999,-999,,1.0,3.0,,,,,,,,0,1,0,0,0
992.0,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,0,0,0,1,0
872.0,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,0,1,0,0,0
561.5,6.87,no,no,no,no,no,yes,no,1.0,1.0,3.0,136.4,1.01,365.0,0.002,504.99,1.0,103.0,0,0,0,1,1
1104.5,9.75,no,no,no,no,no,yes,no,1.0,1.0,3.0,133.38,1.0,,,36.05,1.0,144.0,0,1,0,0,1
715.5,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,1,0,0,0,1
988.64,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,1,0,0,0,1
964.57,8.1,no,no,no,no,no,yes,no,1.0,1.0,3.0,135.54,1.0,365.0,0.003,255.1,1.0,144.0,0,1,0,0,1
938.5,,no,no,no,no,no,yes,no,2.0,1.0,3.0,,,,,,,,1,0,0,0,0
